temperature,humidity_env,soil_moisture,volume_ml
11.39,86.31,65.42,4
38.34,29.75,83.41,0
28.32,25.45,51.9,7
10.86,52.88,29.96,40
37.45,30.25,99.33,0
30.03,41.93,27.14,50
35.06,85.44,97.91,0
32.91,51.32,42.26,31
20.6,73.46,49.23,36
26.12,71.51,32.17,35
26.28,79.01,78.63,0
17.55,47.82,54.08,16
10.67,27.44,90.19,0
20.41,97.48,9.54,35
13.83,94.96,41.65,33
32.74,77.54,5.95,44
13.05,99.37,60.78,1
35.59,69.33,11.49,44
20.25,49.44,22.61,41
17.64,69.57,1.76,49
39.28,89.68,39.7,25
20.76,30.46,94.27,0
17.87,95.25,2.52,34
15.55,21.7,8.17,46
18.79,69.28,53.91,9
31.96,89.84,90.63,0
28.54,97.03,8.86,41
25.09,89.36,63.61,4
22.64,79.66,52.25,0
35.49,34.49,74.05,0
21.96,79.42,94.17,0
20.83,80.11,13.17,42
30.87,29.62,87.71,0
38.49,27.66,64.05,19
38.47,29.65,97.2,0
15.12,67.7,56.53,0
25.08,38.4,4.81,40
21.68,50.71,97.85,0
37.01,47.67,67.07,16
13.48,99.71,68.66,5
27.96,78.58,24.95,44
28.19,59.09,73.99,0
11.36,35.66,62.66,13
37.67,20.97,19.01,50
25.49,77.13,8.71,46
12.31,32.31,98.35,0
14.29,56.38,60.29,19
12.22,74.37,45.12,22
19.33,95.58,53.87,1
23.97,27.03,97.15,0
19.93,53.41,46.39,25
30.84,32.71,80.0,0
38.42,61.47,99.48,0
30.04,64.41,15.16,43
32.53,69.37,64.58,8
18.4,37.54,30.94,34
14.51,94.16,72.27,0
18.83,90.9,74.19,0
36.84,69.57,81.68,0
14.68,72.7,75.94,0
34.44,69.91,47.38,31
21.25,23.86,20.13,49
22.83,34.92,63.46,18
30.91,51.4,59.17,0
27.57,53.74,6.64,47
35.85,30.54,28.25,50
30.9,25.7,98.12,0
13.54,33.08,82.24,0
36.86,47.81,70.39,0
30.9,51.29,85.76,0
23.67,39.0,28.58,49
36.78,41.25,8.35,50
16.24,64.34,12.79,43
18.83,83.72,9.39,35
35.26,28.11,35.87,50
31.24,59.15,48.76,22
31.78,97.88,46.04,24
12.66,48.4,31.76,39
28.7,27.15,6.52,49
20.37,70.98,79.31,0
13.87,52.35,68.26,2
26.95,25.77,62.23,6
15.31,34.84,23.95,41
10.92,51.75,61.08,12
30.76,56.11,80.49,0
38.95,75.6,97.42,0
27.26,67.39,14.21,40
12.51,74.66,34.24,23
21.79,41.94,59.84,10
28.02,27.09,82.75,0
14.11,55.22,51.39,8
37.96,77.31,7.31,46
26.08,58.33,76.45,0
38.87,99.95,62.07,1
23.75,69.84,29.5,49
16.71,89.66,47.55,26
18.17,84.4,16.73,32
20.53,71.13,31.4,34
35.99,87.94,77.67,0
17.26,80.22,23.99,26
28.19,28.55,76.61,0
12.55,97.59,55.37,1
23.64,63.56,94.4,0
12.74,23.33,75.62,0
31.6,40.37,44.55,35
27.92,54.72,93.29,0
11.38,97.98,11.45,35
14.41,21.89,97.9,0
15.15,74.12,70.93,0
23.12,27.64,28.1,40
36.9,77.95,14.29,44
34.39,44.9,67.68,0
39.4,51.27,88.87,0
34.3,37.28,26.56,45
21.29,95.57,5.76,34
37.19,65.65,34.73,24
36.76,98.72,29.72,37
29.76,55.09,61.26,18
16.05,85.12,24.66,35
29.56,33.09,1.8,45
13.48,96.0,77.2,0
11.54,88.05,49.42,10
26.22,24.16,51.27,5
11.1,27.73,49.38,37
31.67,55.01,16.57,48
37.33,66.41,85.4,0
15.2,89.46,8.02,42
37.03,49.32,98.1,0
27.87,24.91,51.8,13
20.13,37.61,52.74,0
14.03,60.49,1.69,44
12.35,91.59,87.42,0
11.99,44.26,78.04,0
17.57,56.03,38.76,30
21.24,34.81,26.17,42
22.27,62.11,27.47,45
19.67,71.27,12.02,46
30.15,64.02,40.75,33
29.32,60.47,89.26,0
39.9,77.29,29.46,44
26.62,80.98,79.05,0
19.6,73.1,67.71,8
25.36,70.55,17.49,49
22.81,64.07,66.79,18
20.22,46.96,89.01,0
33.75,45.29,16.0,50
26.56,85.54,80.82,0
27.49,22.82,41.66,34
13.59,95.42,77.56,0
27.3,26.16,4.24,41
13.4,47.35,21.26,48
25.34,58.44,95.05,0
16.15,78.65,87.59,0
39.61,42.98,33.02,47
11.12,30.62,28.07,46
16.66,59.67,1.26,48
11.55,22.53,80.26,0
11.73,98.93,28.92,35
26.63,34.57,82.12,0
18.55,41.36,47.12,23
24.83,31.87,45.85,36
23.77,38.56,12.29,47
19.7,26.09,89.03,0
33.31,59.77,27.02,47
12.71,32.86,47.13,23
27.77,45.53,25.65,48
21.92,96.43,45.97,22
28.99,69.67,56.04,0
32.52,97.59,70.56,0
16.3,88.91,19.16,30
27.73,42.96,32.51,36
39.7,28.45,80.72,0
38.87,85.97,81.91,0
16.79,40.78,85.57,0
11.74,75.38,44.97,33
36.99,58.51,78.13,0
39.08,83.83,12.48,34
34.46,21.43,87.78,0
27.71,44.45,23.04,40
37.63,21.68,16.27,50
29.36,97.46,7.9,41
11.11,90.29,82.16,0
25.18,60.98,56.95,6
15.86,72.13,66.78,4
29.73,96.07,70.37,0
34.0,48.44,18.16,50
30.94,61.53,82.75,0
13.6,26.48,55.98,12
33.98,81.24,17.93,40
33.92,82.95,54.66,3
29.8,94.98,93.83,0
24.86,83.26,56.12,1
18.66,22.06,67.75,14
16.86,75.68,27.69,50
13.84,54.26,24.19,42
12.65,81.38,46.23,13
36.87,57.97,60.58,6
21.23,73.81,76.19,0
26.0,59.03,89.01,0
14.1,25.52,30.98,20
23.68,95.54,41.88,20
36.06,52.55,3.95,42
13.87,62.01,76.89,0
39.99,68.83,82.85,0
34.19,64.62,84.27,0
13.45,49.4,96.35,0
18.06,67.06,80.67,0
24.23,25.78,12.1,42
33.25,62.31,48.47,39
34.68,62.69,43.91,34
21.29,71.8,1.91,50
36.05,75.65,32.53,30
26.28,92.14,84.36,0
36.32,20.93,60.71,23
21.97,81.54,1.21,40
32.81,32.16,77.31,0
15.13,71.28,1.47,50
14.23,66.59,11.85,42
39.62,39.48,68.77,20
32.6,87.05,19.46,42
22.96,93.24,2.18,31
37.89,99.59,29.98,43
28.83,20.46,14.88,47
37.12,69.91,80.35,0
13.03,73.35,28.84,50
37.16,92.72,55.86,11
11.91,90.33,90.92,0
18.14,98.73,51.25,1
18.08,99.4,95.08,0
36.01,82.39,48.77,22
11.08,61.42,27.68,49
21.65,92.99,1.17,33
12.12,58.93,72.4,0
10.34,75.16,44.4,39
31.06,31.4,63.41,25
34.97,95.52,90.64,0
37.74,70.61,3.32,44
15.87,34.37,34.32,38
30.16,89.87,85.5,0
37.63,73.56,10.19,43
21.03,95.49,24.19,28
21.9,78.95,32.15,39
29.91,21.94,38.05,21
32.36,48.81,5.24,46
20.74,58.68,48.76,35
24.78,67.56,50.31,17
25.96,83.64,16.7,33
